ASCII Trace IXXAT MiniMon V3  Version: 1.1.2.4268
Date: 10/3/2015
Start time: 4:39:49 PM
Stop time: 4:41:54 PM
Overruns: 0  Errorframes: 1613                                       
Baudrate: 500 kbit/s
"Time","Identifier (hex)","Format","Flags","Data (hex)"
"00:01:33.130","Form Error","","",""
"00:01:33.130","Form Error","","",""
"00:01:33.130","Form Error","","",""
"00:01:33.130","Stuff Error","","",""
"00:01:33.130","Form Error","","",""
"00:01:33.130","Form Error","","",""
"00:01:33.130","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Stuff Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.131","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Form Error","","",""
"00:01:33.132","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Form Error","","",""
"00:01:33.133","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Form Error","","",""
"00:01:33.134","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Stuff Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.135","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Form Error","","",""
"00:01:33.136","Stuff Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Stuff Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Stuff Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Stuff Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Stuff Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Form Error","","",""
"00:01:33.137","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Form Error","","",""
"00:01:33.138","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.139","Stuff Error","","",""
"00:01:33.139","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Form Error","","",""
"00:01:33.140","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.141","Stuff Error","","",""
"00:01:33.141","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Form Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.142","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Form Error","","",""
"00:01:33.143","Stuff Error","","",""
"00:01:33.144","Form Error","","",""
"00:01:33.144","Form Error","","",""
"00:01:33.144","Form Error","","",""
"00:01:33.144","Stuff Error","","",""
"00:01:33.144","Form Error","","",""
"00:01:33.144","Form Error","","",""
"00:01:33.144","Form Error","","",""
